method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.19022977123409585,0.07143629400525242,nan,nan,nan,1.2433116340107517,1.3147479280160042,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,4.419140671322809,0.07430458698751669,0.37789503031812854,0.45898827272761916,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1592.6312217369452,1.2298306669981685,nan,nan,nan,0.5226362429966684,1.752466909994837,nan,28,37008,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,819.8406315821707,528.742057354645,5024.240087652302,7455.948720707871,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.19880519030710464,0.08312621299410239,nan,nan,nan,4.277107714005979,4.360233927000081,2.709959578692952e-05,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.279. Validation uses only x0 and the supplied pilot-command history.",open_loop,4.6802390781196355,0.0780618362110265,0.3795073278903952,0.4951953536028715,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.3664709249673165,0.14497576700523496,nan,nan,nan,3.796190951994504,3.941166718999739,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,4.1713806432877165,0.3298014260529937,0.3751987051035202,1.2228392787120355,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.22388377046499325,0.0,nan,nan,nan,6.863241500002914,6.863241500002914,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,3.813060898019959,0.23973787339218108,0.22093201111645264,0.30347164592732007,nan,nan,nan,0.10091361752495899,0.07251360165494171,0.040534204233134294,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.1529339953821543,5.907452561004902,nan,nan,nan,1.1852118029928533,7.092664363997756,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,3.518758563861504,0.060411851723497285,0.30241972564463215,0.37375722784382365,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.10944086162893116,0.9286039959988557,nan,nan,nan,4.873081968005863,5.801685964004719,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,2.3974260197155006,0.050446268367538315,0.20929503872928074,0.25962457509846576,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.20186506606970334,0.014089777992921881,nan,nan,nan,7.780659597992781,7.7947493759857025,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,3.869537879146045,0.11133927377849426,0.384047692228451,0.4734738233074992,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,140.9831711687453,0.5852482720074477,nan,nan,nan,4.1607806510000955,4.746028923007543,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,9.342087945131613,72.32787390839412,449.2739143012319,509.950626041763,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.20507830503175445,8.29780927200045,nan,nan,nan,7.59807394600648,15.89588321800693,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,4.679402571534803,0.13760292145104586,0.3144029871162089,0.3416329532290692,36.615512795727234,30.525940011802376,0.3484666760648038,nan,nan,nan,u_cmd,direct
