method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.33375769782857234,0.1807735189795494,nan,nan,nan,1.3124261400080286,1.493199658987578,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,7.877522076670947,0.12185224407484199,0.19372398340263045,0.13072367575388322,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.48439826782755946,0.0,nan,nan,nan,6.782454861997394,6.782454861997394,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,5.175478031815166,0.32226000873066635,0.1675657898762602,0.17864174660837498,nan,nan,nan,0.02201483132616511,0.003698216163679217,0.0034549275072299664,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.2788653593682259,0.1960884360014461,nan,nan,nan,4.466423995996593,4.662512431998039,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,5.156077762124967,0.09981842718115749,0.19498479344215217,0.1573572204764907,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,1.0006413675576216,0.18204634499852546,nan,nan,nan,3.803577982005663,3.9856243270041887,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,7.262473868435876,0.3902707802348143,0.5612693734224,1.8251167235603991,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.3132912972548952,0.893031676998362,nan,nan,nan,3.0001083530078176,3.8931400300061796,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,6.237796959922388,0.08916074503703261,0.15834319678176828,0.46374884359831015,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1998.75534978092,5.799313900002744,nan,nan,nan,1.1976884749892633,6.997002374992007,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,5300.524227155339,611.8516668754756,2335.008035490481,1977.1653696120588,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.5428571106070049,0.014407882001250982,nan,nan,nan,6.254211302992189,6.26861918499344,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,4.775241057028905,0.15653587101706376,0.5554173771896999,0.5203513267470194,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.39719250993761107,1.2948434489953797,nan,nan,nan,7.236233242001617,8.531076690996997,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,4.398256627727568,0.12268598078452785,0.3598730682328005,0.38172270327707225,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.22408962276106054,1.7620059180189855,nan,nan,nan,11.854996984009631,13.617002902028617,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,5.079096012611667,0.04242379821354369,0.13101420747844922,0.3584389481758687,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,563.3592503825253,0.7038247500022408,nan,nan,nan,5.421357607992832,6.125182357995072,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,6.767110447104545,120.85047538620162,731.1431313567865,812.0486377285658,nan,nan,nan,nan,nan,nan,u_cmd,direct
