method,description,implementation_status,backend,validation_score,train_elapsed_s,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Nominal (direct),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.14429079529176625,0.0,3.5805624639979214,3.5805624639979214,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,0.46573721749689734,0.005462937895448318,0.01565852698481514,0.005813452662452756,nan,nan,nan,0.0011136934304502636,0.0024948892811889303,0.0005667821484368856,u_cmd,direct
Linear-SS (direct),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.034002963239251595,0.04632939300063299,0.5605963300040457,0.6069257230046787,nan,28,256000,Captures local small-signal behavior but has no explicit aerodynamic interpretation.,0.10447936790518111,0.0010617718871619916,0.0037493198034807508,0.0018555284440972164,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD (direct),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.03611108820865265,0.09393739099323284,2.641024390999519,2.7349617819927516,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives.",0.11427632319672128,0.0011395309238476426,0.003886925895241208,0.0019215199870993493,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel (direct),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.049658029349755065,2.56769261899899,0.7005500000013853,3.2682426190003753,nan,522,255296,"Past window=12, latent order=6; linear latent model identified from lagged input-output Hankel features.",0.15390255203228614,0.001588003028189294,0.006070876451791972,0.00209955871713661,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch (direct),Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.17773948719047072,0.494814571000461,1.5974722280006972,2.092286799001158,nan,28,6129,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,0.3717813466868735,0.008086605554409208,0.016878333803616783,0.013778925327330221,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS (direct),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.028786633498076947,0.006391147995600477,3.5752641319995746,3.581655279995175,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",0.0866339437385248,0.0009061950550998651,0.00273006079001983,0.0019976535706432105,nan,nan,nan,nan,nan,nan,u_cmd,direct
FilterError-EKF (direct),Extended Kalman filter prediction-error baseline around a fitted aerodynamic parameter model.,implemented,CasADi AD EKF,0.03244331991982743,0.006259276997298002,8.702347901002213,8.708607177999511,nan,24,50000,Approximates filter-error PEM behavior with a fixed EKF covariance model; parameters initialized by equation-error LS and the RK4 transition Jacobian is computed by CasADi AD every 1 samples.,0.035752241293741965,0.0012206861436809514,0.0014509341105691553,0.005380365753856134,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS (direct),Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.5311857106797161,12.122465027001454,3.5686808789978386,15.691145905999292,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,2.36125285864523,0.035053546808818475,0.01887179781308451,0.008971026608665835,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput (direct),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.7381679803651863,13.670012615002634,3.613131844998861,17.283144460001495,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,2.2242086597204325,0.02933766581842937,0.08489667120999461,0.028729385810316845,9.888417962581508,9.570985500209046,0.07987816986179454,nan,nan,nan,u_cmd,direct
Variational-Mocap (direct),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.8647916527927783,3.288995114999125,3.5917260729984264,6.880721187997551,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,2.3434138342753115,0.030269234308133115,0.11393966920621672,0.036632274312216453,16.096591062030374,34.04192826620679,0.1157106962390716,nan,nan,nan,u_cmd,direct
SINDy (direct),Sparse regression of the full state derivative on polynomial/trigonometric state-input features.,implemented,numpy,0.11611771094875342,0.0722033430065494,7.247993680997752,7.320197024004301,nan,40,50000,Flexible equation discovery; rollout stability depends on derivative quality and sparsity threshold.,0.3315665765607205,0.005158011903771322,0.01001304316559401,0.007106314636443184,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise (direct),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.02779985980577431,0.39184229700185824,7.256549899997481,7.648392196999339,nan,21,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,0.06402698527610048,0.0010290873284432257,0.002291864974550727,0.002631510859547564,nan,nan,nan,nan,nan,nan,u_cmd,direct
GP-CoeffClosure (direct),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.05222807354362098,1.0409885440021753,13.184600793996651,14.225589337998827,0.7388740429767761,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.05, residual gain=1.",0.15174514111865217,0.001751988052323445,0.005222793047364144,0.0034041179639247563,nan,nan,nan,0.0033028011683971653,0.001626007635948271,0.0007305555894888721,u_cmd,direct
UDE-Residual (direct),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.03405215634457781,0.8343853859987576,9.52921316800348,10.363598554002238,0.783989429473877,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,0.08265326021619249,0.0011882424475686537,0.0030362824199911486,0.003002986263413079,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure (direct),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.04280158586644839,0.7385454799950821,9.633529539001756,10.372075018996838,0.7409485578536987,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,0.1382458103572098,0.001352990818382427,0.004136414893612605,0.0025809806881940526,nan,nan,nan,0.003233231483759189,0.0008521746962561406,0.0006878977627527529,u_cmd,direct
UDE-HiddenControl (direct),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.037541693310144834,0.7362435570030357,11.18067934699502,11.916922903998056,0.6403319239616394,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,0.08630014205427797,0.000920804452631036,0.0058124709759932855,0.001995532496130036,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator (direct),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.04955717844620353,0.6919950329975109,11.474014913001156,12.166009945998667,0.2835811674594879,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",0.09056869140184902,0.0009378676981915918,0.00975312575807979,0.0020862065452033275,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate (direct),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.03142536984653088,0.7159363740065601,9.297836234996794,10.013772609003354,0.021101852878928185,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",0.04466197507361129,0.0006155070326715737,0.0016308240265884971,0.005590094463926751,nan,nan,nan,0.00032009837822138953,1.6325686790727066e-05,2.813309784653295e-05,u_cmd,direct
