method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.019615204771310464,0.06822933099465445,nan,nan,nan,0.9262637249921681,0.9944930559868226,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,0.05433734924961389,0.0005493351242372233,0.0024512624375348266,0.0019025619036494208,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.019025802199170626,0.07292555000458378,nan,nan,nan,3.9794347810093313,4.052360331013915,2.184836014017656e-05,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.177. Validation uses only x0 and the supplied pilot-command history.",open_loop,0.051249611302588774,0.0005229282068116613,0.0024362672600142113,0.0018752371353925167,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.019896149943807284,0.18777875299565494,nan,nan,nan,4.693122279990348,4.880901032986003,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,0.05676718503461357,0.0005518333945773639,0.0024852153905131143,0.0018792053159235413,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.3647910472212368,0.0,nan,nan,nan,7.1447867579991,7.1447867579991,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,1.123957152747268,0.013704607664200787,0.042443703376937966,0.027151382007294615,nan,nan,nan,0.0068631514282423475,0.0011502201346342414,0.001237888818366973,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.2568154811796274,0.842745152011048,nan,nan,nan,2.6001087080076104,3.4428538600186585,nan,28,13956,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,0.7138126690948877,0.01335261393483324,0.01566419275643886,0.02544243126311119,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.02692368600161897,6.2892205829994055,nan,nan,nan,1.360274741993635,7.64949532499304,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,0.08169510720150608,0.0008604371417688779,0.003148515501616073,0.002310851140142307,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.05536381134120996,0.9421049899974605,nan,nan,nan,5.775928028000635,6.718033017998096,0.01608280847189129,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,0.17039408897909822,0.0016148445672923733,0.0075692216184316,0.004161061854386694,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.22470888613161827,0.014477719989372417,nan,nan,nan,7.096954388005543,7.111432107994915,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,0.6825040600180786,0.006757651003885023,0.030318284417221182,0.017146406581747875,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.0423580064384997,0.6276193139929092,nan,nan,nan,11.887453017014195,12.515072331007104,nan,23,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,0.08027721793625076,0.0017390326917055858,0.0036618983849019504,0.005647072194294229,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,1.3175105389430835,8.361851384994225,nan,nan,nan,6.431272457994055,14.79312384298828,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,2.971555229835401,0.03721654436057858,0.336585000120937,0.02983651442849968,18.271705199663067,129.79383386053982,0.34526730826413055,nan,nan,nan,u_cmd,direct
