method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.04105062120346747,0.08625183600815944,nan,nan,nan,1.0797523930086754,1.1660042290168349,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,0.7572469445125749,0.00542014305050059,0.025579235799245263,0.00901597355546538,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1.3687748399084296,1.10232822499529,nan,nan,nan,3.400839232999715,4.503167457995005,nan,28,13476,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,13.792660838079126,0.1513808604563415,0.7068195882341787,0.7123818343041337,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.04094468078344522,0.10441836100653745,nan,nan,nan,4.715534663992003,4.81995302499854,2.1877980237669413e-05,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.149. Validation uses only x0 and the supplied pilot-command history.",open_loop,0.7571468549894355,0.00545047483930563,0.025061974709770587,0.009097130424916137,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.008255700768213445,0.18344959600653965,nan,nan,nan,4.579043391000596,4.7624929870071355,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,0.14491689081451364,0.0008771778573611853,0.006267394589406203,0.0018909659286765112,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.06094980464667618,0.0,nan,nan,nan,7.222671441995772,7.222671441995772,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,1.1155215896109905,0.012419858531950245,0.026535556614098926,0.008419250302910563,nan,nan,nan,0.007292265977833135,0.0013143193560725603,0.0014059925957970064,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.0436134040743104,6.22836306199315,nan,nan,nan,1.512636825995287,7.740999887988437,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,0.7311036973702847,0.00612375354632801,0.025272503216363432,0.011283198521544798,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.020252074155248167,0.015355822994024493,nan,nan,nan,7.557378261000849,7.572734083994874,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,0.36170444859265927,0.002493043716478487,0.01126443047524637,0.005989075924525445,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.01912597053070733,1.1774640459916554,nan,nan,nan,7.32729980199656,8.504763847988215,0.0011798172595495885,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,0.3677649596292698,0.00239472183811764,0.011500509596959895,0.004477956148104218,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.07220002083719525,0.5107867159968009,nan,nan,nan,11.812131470011082,12.322918186007882,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,0.9862833423921228,0.014440140031435478,0.025717202718190592,0.021273424437671027,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.4860551070071673,7.919508480001241,nan,nan,nan,7.590848621999612,15.510357102000853,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,5.46584528932288,0.04575847159977715,0.6281340823017787,0.04131346335113356,18.824663746168525,238.87739398838036,0.6422785959051733,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.009915090685852895,1.56931871001143,nan,nan,nan,21.71158277800714,23.28090148801857,0.6796975898220834,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.03, residual gain=1.",open_loop,0.13450339218871912,0.0017371909026002656,0.004507819072271799,0.0030365373271818543,nan,nan,nan,0.0037454180205702997,0.0011586972197581446,0.0005944907727767096,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,0.015208679881023845,0.057185865996871144,nan,nan,nan,37.36456059799821,37.42174646399508,0.000186420824486567,14,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,0.25705613069180444,0.0019210090580389213,0.009001460390245321,0.004360692449168945,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.10219792452779797,27.123649533998105,nan,nan,nan,6.2926460949965985,33.4162956289947,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,1.5714867625276399,0.02184474910151269,0.04208331917547027,0.019194411947917992,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.16970174516684366,32.04861934798828,nan,nan,nan,5.755381808994571,37.80400115698285,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,2.5060939408538885,0.031027210946070395,0.09824889701921867,0.03170127652860848,10.441090290245088,9.265945976823053,0.09564988991202734,nan,nan,nan,u_cmd,direct
