method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.08930485466267912,0.0784136860165745,nan,nan,nan,1.0757774479861837,1.1541911340027582,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,2.26236092010894,0.008341322119844922,0.06316430069279398,0.015474001279149557,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.18022617479938868,0.17268707198672928,nan,nan,nan,4.239151207002578,4.411838278989308,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,4.032638386291499,0.007519187655606451,0.11170612818456568,0.06626024522296119,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.03971561079919918,0.1101595770160202,nan,nan,nan,4.256009259988787,4.366168837004807,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,0.5775616708101232,0.004711510155437608,0.026348873252359555,0.013117472634370549,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.10678545213434423,0.0,nan,nan,nan,6.481293220975203,6.481293220975203,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,1.3391453122140844,0.046874289570566774,0.03582511027628332,0.01832437352188216,nan,nan,nan,0.0363065585466981,0.006293980249864283,0.004922169396994208,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.29626678842853305,0.9543970410013571,nan,nan,nan,3.0517439120158087,4.006140953017166,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,5.52313793448765,0.053984373995440545,0.08189762217342221,0.15161867245912852,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,3098.1042755485287,6.140300996979931,nan,nan,nan,1.3514029200014193,7.491703916981351,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,3616.0513191535742,419.9938735715899,2168.211655886173,1448.6064237891853,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.48378268590914175,0.016058540990343317,nan,nan,nan,7.459509128995705,7.475567669986049,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,4.61140185737107,0.06521507867101276,0.27922725905124873,0.21942997752680155,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.17449020723245218,1.047885571984807,nan,nan,nan,5.692560550989583,6.74044612297439,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,3.727838443605132,0.026820731398411242,0.10343439108655139,0.04204947307535532,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.19795061723783108,1.903729709010804,nan,nan,nan,10.675088358024368,12.578818067035172,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,3.8500915367343316,0.033473094108997,0.06710950799712445,0.09210489969022963,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,230.3396795166315,0.5911310460069217,nan,nan,nan,10.847945582994726,11.439076629001647,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,12.348424124236828,20.703135057363244,134.6053447250739,149.86489738385524,nan,nan,nan,nan,nan,nan,u_cmd,direct
