method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.19379473964719857,0.07121994701446965,nan,nan,nan,0.9520881659991574,1.023308113013627,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,8.033813717554233,0.08632946688786318,0.38190573296779395,0.33921724937139813,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.1965631481219403,0.0,nan,nan,nan,6.755200632993365,6.755200632993365,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,5.093985396814956,0.20171226475371615,0.2661400404880862,0.3078130794578979,nan,nan,nan,0.08942571361463185,0.07329331697112483,0.04012261168270649,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.173406644778098,0.0849967270041816,nan,nan,nan,5.19009359399206,5.275090320996242,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,6.105043962743136,0.08498683786289123,0.37538622188503135,0.34815680388039727,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.4689625391290283,0.17655022398685105,nan,nan,nan,4.008053473982727,4.184603697969578,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,7.297552241174738,0.4727854232399319,0.5411549324385767,1.7252568122244014,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.20095530254932156,0.9417054689838551,nan,nan,nan,2.927756290009711,3.869461758993566,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,7.17109770648792,0.10204768667887912,0.3726854215618802,0.4943006397243603,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,761.7795354236418,5.597359954990679,nan,nan,nan,1.2164780550228897,6.813838010013569,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,5027.6749092994,629.6253404156595,2218.3518654859813,1985.7589143235414,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.7620804106413207,0.012975088000530377,nan,nan,nan,6.824474025983363,6.837449113983894,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,7.53712062636445,0.2135047425970204,3.9532075801949054,0.7632175223298073,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.21727156197909397,1.2076256770233158,nan,nan,nan,7.378616905014496,8.586242582037812,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,5.814517944454808,0.13429532487676438,0.4832235944927361,0.5060572018555377,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.18264806530432362,2.1921211139997467,nan,nan,nan,12.612625112989917,14.804746226989664,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,6.529491391369129,0.08608648133168811,0.3724629653186251,0.42166565536463846,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,348.38033716718684,0.5771421889949124,nan,nan,nan,8.899962024006527,9.47710421300144,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,8.764254254104287,72.56316672299047,2069.3981258365725,495.94991743590657,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.1875509776895249,7.775362788990606,nan,nan,nan,7.032550128002185,14.807912916992791,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,6.230009569127083,0.10320499006449825,0.40534381567043515,0.3603737076271571,51.60663916292781,86.69492366146918,0.43869904626516815,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,370.3340747681142,0.07490809200680815,nan,nan,nan,31.66653554799268,31.74144363999949,0.0016281183748993212,16,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,276.1581861036273,468.1164577284589,0.9240583824755159,2456.708803441213,nan,nan,nan,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.10161526180431349,1.5250339500198606,nan,nan,nan,23.446216040989384,24.971249991009245,0.19654863259125283,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.03, residual gain=1.",open_loop,3.0263568022635887,0.04939562281376036,0.2421599224550433,0.2448917220379359,nan,nan,nan,0.07645229336947718,0.05984369094804364,0.02893083520217935,u_cmd,direct
