method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.04172063151878186,0.0,nan,nan,nan,3.556847129992093,3.556847129992093,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,0.7545986243435507,0.006584881179118552,0.02598578088961699,0.008326624465283195,nan,nan,nan,0.002900459921162958,0.002597801241811335,0.0008687862796053669,u_cmd,direct
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.040362984339852546,0.0449867770075798,nan,nan,nan,0.5577302110032178,0.6027169880107976,nan,28,256000,Captures local small-signal behavior but has no explicit aerodynamic interpretation.,open_loop,0.7268309485498022,0.006113733757881914,0.02526327363344519,0.008654117204626418,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.00787510046447753,0.09375929700036068,nan,nan,nan,2.6918629059946397,2.7856222029950004,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives.",open_loop,0.13685029412421226,0.0009729856690469731,0.00569921110682035,0.0018522136578718721,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.04177131682669773,2.6064449929981492,nan,nan,nan,0.6981219000008423,3.3045668929989915,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,0.6861935354847576,0.006827396054562787,0.024305976315596015,0.010357174117511416,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.9689866391087855,0.5365300369885517,nan,nan,nan,1.6118491689994698,2.1483792059880216,nan,28,13493,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,11.55141864669976,0.10176515753424585,0.5054533835335338,0.5048499617077925,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.01698830701144086,0.0004837729939026758,nan,nan,nan,3.573459876002744,3.5739436489966465,nan,8,2000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,0.2892333860791411,0.002243412992071128,0.0097430528053352,0.005317592524429629,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.12096757029645484,0.016758685000240803,nan,nan,nan,3.578290058998391,3.595048743998632,0.00011549165951984726,156,40,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 1 trials at stride 100; validation is a pilot-command-only open-loop rollout.,open_loop,1.6470588163098119,0.027175977341132466,0.06684218226401954,0.022385256685709624,nan,nan,nan,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,0.021222007430888215,0.0026274349947925657,nan,nan,nan,22.09005703299772,22.092684467992513,0.00019894913498522712,18,2000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,0.2701207075061926,0.0033405798724203124,0.016058165814473144,0.005091640013536382,nan,nan,nan,nan,nan,nan,u_cmd,direct
Integrated-SINDy,Integrated output-error fit of the structured sparse aerodynamic coefficient library.,implemented,CasADi/IPOPT,433.9813088738647,0.005833363000419922,0.0058325219999915134,nan,nan,22.277807070000563,22.283640433000983,0.0,60,51,"CasADi/IPOPT trajectory-error fit over 1 trials at stride 80; uses the same protected aircraft terms and residual library as SINDy, but optimizes integrated rollout error rather than EOM-inferred coefficients.",open_loop,4.301855717221864,242.49047320831093,0.7312296704739049,15.943104735826507,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,2219.3087959169716,0.02783438299957197,nan,nan,nan,6.02033056000073,6.048164943000302,nan,19,2000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,1259.8731583567583,419.59964462594786,3062.8719646182426,141.909510392722,nan,nan,nan,nan,nan,nan,u_cmd,direct
