method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.20342044305229118,0.06809022999368608,nan,nan,nan,1.1066080519958632,1.1746982819895493,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,6.528804523213083,0.09232432310095755,0.4802220419034575,0.4711529334280854,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.1965631481219403,0.0,nan,nan,nan,6.208250731011503,6.208250731011503,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,5.093985396814956,0.20171226475371615,0.2661400404880862,0.3078130794578979,nan,nan,nan,0.08942571361463185,0.07329331697112483,0.04012261168270649,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1596.7667484342505,1.3587632709968602,nan,nan,nan,0.5919905100017786,1.9507537809986388,nan,28,35556,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,6222.527100044646,1963.1017562169743,2311.720045851118,5414.222297135037,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.19384012479466237,0.07725141900300514,nan,nan,nan,3.7069694200035883,3.7842208390065935,2.6238167195545727e-05,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.163. Validation uses only x0 and the supplied pilot-command history.",open_loop,6.1297536282337735,0.08853944880776037,0.45688448291664047,0.46071138673964074,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.3951007214902392,0.15755629900377244,nan,nan,nan,4.36054868499923,4.518104984003003,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,6.121586614818598,0.4014566042474116,0.46228992069783514,1.423725357631538,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.23108569748008528,5.822030588009511,nan,nan,nan,1.0788136070041219,6.900844195013633,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,7.521122160819295,0.10374790471410451,0.5526755554123486,0.5119919239474192,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.5934694508593148,0.010658774001058191,nan,nan,nan,5.31427812500624,5.324936899007298,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,7.079411026704273,0.22278701137063633,2.758779931641017,0.6984987726457322,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.13944233726878183,1.0734663950133836,nan,nan,nan,6.126833732996602,7.200300128009985,0.00013923876879543172,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,3.7991582314809893,0.08977467546417499,0.2938827257062581,0.324442196008653,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,69.29784433449936,0.5598033669957658,nan,nan,nan,11.005450016004033,11.5652533829998,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,8.654830737992217,67.3039491627076,57.70676058337214,481.10475440766527,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.7966434567326851,6.608332172996597,nan,nan,nan,5.026769133997732,11.63510130699433,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,9.058610757167965,1.0684620121110997,1.5480183944853083,0.38841946966765745,206.3152404652311,67.09431196985241,1.735862266052488,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.05874600408219719,1.573560845994507,nan,nan,nan,22.924333914008457,24.497894760002964,0.20102865582357113,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.09, residual gain=1.",open_loop,1.4545195436784957,0.03913666710178711,0.1159265737054882,0.1666041771991893,nan,nan,nan,0.0556905913135182,0.04577527140221421,0.021066292612449324,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,116.41021363060825,0.06791469900053926,nan,nan,nan,36.29388834199926,36.3618030409998,0.0015576858719220158,14,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,5.513664387429533,261.746045685243,1.1195497007830921,26.77613597183181,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.11984743136492414,29.571682971989503,nan,nan,nan,6.723362728007487,36.29504569999699,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,3.3756191143367658,0.07237663426185743,0.2529802778868939,0.2927545356819341,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.1895047696090693,32.95762265499798,nan,nan,nan,7.719204855995486,40.67682751099346,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,7.1010243152679555,0.09227940217121194,0.3939681246453064,0.35258321986604946,83.17713721537228,45.64542062363249,0.4148099476448188,nan,nan,nan,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.03777262434099658,1.3312683690019185,1.3368527219999997,1.3309488525390625,68.81005859375,9.73078228799568,11.062050656997599,0.321713387966156,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,1.0984518943676271,0.020787552447172356,0.0743322421872816,0.11152266285244812,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.06284742883305736,0.9710179499961669,0.971461734,0.9707505493164063,68.42822265625,9.716176058995188,10.687194008991355,0.20156104862689972,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,1.6061211186805637,0.03597219083569582,0.13127990636394213,0.19448493518977036,nan,nan,nan,0.06966893200204623,0.05014249627722627,0.024622578552160365,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.1411763381456489,0.9339391179964878,0.9375687029999993,0.9336821899414063,68.04541015625,11.156078614993021,12.090017732989509,0.4783189594745636,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,3.8347442657009223,0.1093317983033911,0.2505239040055249,0.30586091430970574,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.1334976439930121,0.9504760749987327,0.9527094680000001,0.9502058715820313,67.66357421875,11.203337906001252,12.153813980999985,0.015945065766572952,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,3.6974774865430744,0.09584121999413106,0.2503354812323361,0.3003146986840094,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.026917762952886802,0.9219526499946369,0.9233706509999999,0.9217060546875,68.42822265625,9.10281541099539,10.024768060990027,0.0014590093633159995,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,0.6386634537432266,0.01504973827222844,0.0547464208195106,0.09623490775023505,nan,nan,nan,0.03725446483299939,0.025600024063275283,0.012102738753548939,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.19298134931223632,0.06642647398984991,nan,nan,nan,0.9397874839924043,1.0062139579822542,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,6.232906001241112,0.08747015412868885,0.44789043469601536,0.4576760544053284,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.20989910165747733,0.08158777600328904,nan,nan,nan,3.9365106299956096,4.018098405998899,0.0007789194947284742,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.293. Validation uses only x0 and the supplied pilot-command history.",open_loop,7.28547163830114,0.09267393749310078,0.4773355173198373,0.4571426553177579,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.21632585220442616,0.0,nan,nan,nan,5.96380942700489,5.96380942700489,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,5.504292871120399,0.22584602656898048,0.2902810725212332,0.3342918562653348,nan,nan,nan,0.08942571361463185,0.07329331697112483,0.04012261168270649,u_cmd,mocap
Frequency-Welch (mocap),Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2083.9333199614493,1.556603848002851,nan,nan,nan,0.8303794730018126,2.3869833210046636,nan,28,44350,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,3025.0307434464776,2652.111424167927,3042.9096546338797,7195.747129074486,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,12.49169156984872,0.17620512699068058,nan,nan,nan,5.098309859007713,5.274514985998394,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,1201.7941756922066,0.38597124482736805,0.5001005443213306,1.5757945414417447,nan,nan,nan,nan,nan,nan,u_cmd,mocap
