method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.21132480825129638,0.07417406799504533,nan,nan,nan,0.9369755079969764,1.0111495759920217,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,6.691847860003345,0.08209329762030865,0.34929434014554234,0.3220333286379218,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.3664709249673165,0.16565902301226743,nan,nan,nan,3.779357274994254,3.9450162980065215,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,4.1713806432877165,0.3298014260529937,0.3751987051035202,1.2228392787120355,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.22388377046499325,0.0,nan,nan,nan,6.040541522001149,6.040541522001149,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,3.813060898019959,0.23973787339218108,0.22093201111645264,0.30347164592732007,nan,nan,nan,0.10091361752495899,0.07251360165494171,0.040534204233134294,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.260317639426609,0.8584880990092643,nan,nan,nan,2.6749561660108157,3.53344426502008,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,8.60430423841942,0.0982553989022793,0.32057370264306534,0.5560340491933915,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.17795519051225753,0.11396855398197658,nan,nan,nan,6.105019862996414,6.218988416978391,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,4.66380023628384,0.0744030767337302,0.3337624333031758,0.341121823092018,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.20186506606970334,0.012381665001157671,nan,nan,nan,5.972664183005691,5.985045848006848,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,3.869537879146045,0.11133927377849426,0.384047692228451,0.4734738233074992,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1035.7015095322154,5.689424041018356,nan,nan,nan,1.3300453730043955,7.019469414022751,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,4651.630841474758,745.4391834359627,2884.7038084231563,2417.0204897276885,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.10944086162893116,0.9726303030038252,nan,nan,nan,6.373086817009607,7.345717120013433,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,2.3974260197155006,0.050446268367538315,0.20929503872928074,0.25962457509846576,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,140.9831711687453,0.6120639459986705,nan,nan,nan,4.815652802994009,5.42771674899268,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,9.342087945131613,72.32787390839412,449.2739143012319,509.950626041763,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.23997471630930695,2.1469279890006874,nan,nan,nan,14.432807471981505,16.579735460982192,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,7.785455369326996,0.09549949157736055,0.31355967765313497,0.47553426573301505,nan,nan,nan,nan,nan,nan,u_cmd,direct
