method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.10280010550520767,0.09041013199021108,nan,nan,nan,0.9683239589794539,1.058734090969665,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,1.6056547342176217,0.015134782569556688,0.05806605594263987,0.028105335913223457,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.17794627378529299,0.9579917030059732,nan,nan,nan,3.0800649240263738,4.038056627032347,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,2.8138352719469273,0.0269167779124354,0.05778633475531664,0.07101119384691255,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.06815005277015443,0.17941572799463756,nan,nan,nan,5.822975405986654,6.002391133981291,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,1.065468631865713,0.006190439056507021,0.053809884406025986,0.020059314197135938,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.06094980464667618,0.0,nan,nan,nan,7.009100581984967,7.009100581984967,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,1.1155215896109905,0.012419858531950245,0.026535556614098926,0.008419250302910563,nan,nan,nan,0.007292265977833135,0.0013143193560725603,0.0014059925957970064,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.05305326791667812,0.11391913701663725,nan,nan,nan,5.554193357995246,5.668112495011883,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,0.8682005932811326,0.008107923735736463,0.03196260920657955,0.011677173562372623,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.27758428113755795,0.013676449976628646,nan,nan,nan,7.3514634130115155,7.365139862988144,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,3.9548901252272763,0.033490016337287834,0.15070015103456325,0.10767564125836124,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.19601311798902638,1.0807370690163225,nan,nan,nan,7.0997223110171035,8.180459380033426,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,3.069000309531608,0.03227460030249171,0.10022535024205509,0.05030925787365135,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,2293.9677782121153,6.547634779009968,nan,nan,nan,1.0754268520104233,7.623061631020391,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,3694.922162383015,382.89846924251793,1276.7910035870477,1206.9770754002461,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.10677336474995354,2.3625888119859155,nan,nan,nan,12.520182345004287,14.882771156990202,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,1.7317884288956011,0.01443950264044132,0.07097910478536691,0.025032048830923064,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.0890057157210995,0.6481267810158897,nan,nan,nan,12.6839601379761,13.33208691899199,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,1.1694630356056668,0.015033649766715229,0.046404558245631236,0.026114258282492073,nan,nan,nan,nan,nan,nan,u_cmd,direct
